ref,"id",dimension,material,size,stone,treatment,weight
203,"bleu-bague-1",3.2x2.7x3.6,argent,55,azurite et diamant noir,plaque or,47
41,"bleu-bague-2",3x4x2.5,argent,57,lapis lazuli,plaque or,36.2
40,,4.3x2.5x2.2,argent,56,tourmaline,plaque or,36.6
31,,3x2.5x3.7,argent,55,agate bleu,plaque or,41.3
183,,3.3x2.2x2,argent,58,aigue marine,plaque or,33.8
187,"blanche-bague-2",3.3x3.5x3,argent,55,aigue marine brut,plaque or,44
54,,3.3x2.3x3,argent,54,lapis lazuli,plaque or,27.5
57,,3x4x2.5,argent,57,lapis lazuli,"plaque or ",36.2
33,,3.2x2.6x2.3,argent,55,malachite,plaque or,30.5
14,,5x3x2.8,argent,54,cristal de roche,argente,58.6
13,"argent-bague-1",5.5x3x2.5,argent,54,cristal de roche,argente,48.5
28,,4.5x2.8x2.3,argent,54,cristal de roche,plaque or,46.7
39,,5x3.5x2,argent,55,pyrite,plaque or,53.1
11,,4x3x3.5,bronze,54,amethyste,plaque or,51.4
45,,2.7x3x2.3,argent,54,turquoise,plaque or,30.6
29,,4x2.5x2.5,argent,55,amethyste,plaque or,34.8
188,,3.5x3.3x2.2,argent,51,kunzite,plaque or,40
3,"blanche-bague-1",4x4x3,bronze,56,quartz rutile,plaque or,38.7
30,,4.5x2.5x2.2,argent,55,cristal de roche,"plaque or ",41.1
27,,4.8x2.5x2.5,argent,55,cristal de roche,plaque or,40.5
25,"argent-bague-2",4.8x3x2.6,argent,56,cristal de roche,argente,45.3
182,,3x2x1.8,argent,58,malachite,plaque or,27
179,,4x2.5x2.7,argent,57,pierre de soleil,plaque or,47
192,"blanche-bague-4",3x2.5x5,argent,53,agate cristallisee,plaque or,61
193,"violette-bague-1",3.5x2.3x3.5,"argent ",56,rubis + pierre de lune,plaque or,54
191,"blanche-bague-3",3x3x3.5,argent,53,agate cristallisee,plaque or,58
190,,3x2.8x4,argent,58,obsidienne doree,plaque or,60
189,"blanche-bague-5",3.2x3x4,argent,58,agate cristallisee,plaque or,56
204,,4.4x2.6x2,argent,61,dioptase + emeraude,plaque or,34
205,,3.2x3x3.5,argent,60,dioptase + emeraude,plaque or,37
206,,3.3x2.5x4.2,argent,59,dioptase + emeraude,plaque or,36
212,,3.3x2.3x2.2,argent,54,peidot 4.68 CT + emeraude,plaque or,26
210,,3.1x2.2x2,argent,54,amethyste verte 18.22CT + emeraude,plaque or,28
211,,3.3x2.8x2.1,argent,58,amethyste verte 18.22CT + emeraude,plaque or,40
208,"argent-bague-6",3x2.4x2.5,argent,67,aigue marine 13CT + diamant taille rose,argent,37
214,,4.2x3x2.5,argent,57,grenat noir + diamant noir,plaque or,57
215,,3x3x2.6,argent,57,topaze rose 4.85CT + rubis,plaque or,46
207,,3.7x3.5x2.9,argent,61,grenat noir + diamant,plaque or,57
209,,3.7x3.9x2.7,argent,54,aigue marine 81CT + aigue marine cabochon,plaque or,63
216,,2x2x1.5,argent,60,signature diamant noir,plaque or,10
217,,2x2x1,argent,59,signature emeraude,plaque or,6
181,,3.5x2.5x1.5,argent,58,pyrite,plaque or,41.2
200,,,bronze,,8 amethyste 2 calcedoine 1 tourmanline 1 aigue marine,plaque or,87.3
196,,12,bronze,,7 tourmaline cabochon 55CT,plaque or,132.1
"155 ",,,bronze,,rubis chatouillant,plaque or,179.3
35,,,bronze,,lapis lazuli,plaque or,216.5
63,,7,bronze,,,plaque or,135.3
195,,,bronze,,4 calcedoine 3 amethystes 2 tourmalines,plaque or,
202,,,bronze,,grenat,plaque or,
201,,,bronze,,azurite,plaque or,
199,,,bronze,,tourmaline,plaque or,
153,,5.5x6x7,bronze,,2 amethystes 1 citrine,plaque or,173.8
96,,12,bronze,,lapis lazuli,plaque or,207.6
53+61,,12,bronze,,pyrite,plaque or,176.5
194,,12,bronze,,5 grenat noir + diamant noir,plaque or,264
197,,6x6.5x7,bronze,,dioptase + emeraude,plaque or,125
64+218,,6x6.5x7.5,bronze,,tranche d'amethyste 79.95CT + diamant noir,plaque or,157.2
"18+220 ",,5.5x6x8.5,argent,,dioptase + emeraude,plaque or,236.8
64+219,,9,bronze,,azurite + diamant noir,plaque or,229.2
158+222,,7,argent,,grenat noir + diamant,plaque or,197.5
158+223,,7,argent,,grenat noir + diamant,plaque or,197.9
18+221,,6x6.5x9,argent,,dioptase + emeraude,plaque or,262.4
000,,5.5x5.5x5,bronze,,diamant noir,plaque or,192.2
234,,3.8x3.5x4.7,argent,58,"tourmaline 38.16 CT + aigue-marine ",plaque or,80
231,,3.5x2.5x3,argent,58,azurite + aigue-marine,plaque or,40
227,,4.2x3x2.5,argent,56,pyrite + diamant noir,plaque or,46
225,,4x3x2.3,argent,59,pyrite + diamant noir,plaque or,46
226,,3.5x2.5x1.4,argent,57,pyrite + diamant noir,plaque or,40
229,,3.5x3.3x2,argent,54,proustite + diamant noir,plaque or,38
223,,4x2x2.2,argent,58,quartz,plaque or,37
,,3.3x2.7x3.5,argent,58,aigue marine brute + saphir,plaque or,50
243,,2.5x3x4.5,argent,56,malachite + emeraude,plaque or,34
239,,11.5,bronze,,dioptase + 8 lolites,plaque or,289
240,,12,bronze,,amethyste,plaque or,318.2
241,,11.5,bronze,,3 dioptases,plaque or,299.6
242,,12,bronze,,malachites,plaque or,118.1
238,,6x6x11,bronze,,malachite,plaque or,152.3
243,"argent-bague-4",,argent,,,argent,
244,,3.8x2.5x2.5,argent,59,pyrite,argent,36.5
245,"argent-bague-5",3.5x3x3,argent,59,amethyste verte,argent,45.2
246,,3.5x2.5x2.2,argent,60,pyrite,argent,42.1
247,"argent-bague-3",3.5x2.5x2,argent,59,tourmaline + aigue-marine brute,argent,33.8
236,,,bronze,,agate cristallisee,plaque or,
235,,6x6.5x9,bronze,,agate,plaque or,179.8
251 B,,5.5x3.5,bronze,,malachite,plaque or,23.8
251 A,,4.5x2.8,bronze,,malachite,plaque or,20.4
253,,6x6x11.5,bronze,,agate cristallisee,plaque or,177.6
254,,6x7.5x7,bronze,,obsidienne,plaque or,163.3
38,,3x3x2,argent,54,amethyste verte,plaque or,36.6
198,,6x6x6.5,bronze,,2 azurite brute,plaque or,151.9
